ts,level,code,detail
2026-04-08T00:02:54-07:00,INFO,HB,mode=FLAT px=2245.37 bid=2245.36 ask=2245.37 sprd=0.01 reg=CHOP p=0.39 chop=0.61 pb=0.39 dir=1 pos=0.00 side=- upnl=- avg=- hold=0s tp1=0.72% tp2=1.26% tp_mode=vol vol=0.00 norm=0.07 rsi=28.37 cd=0s obi=0.21 q_free=101.29 b_free=0.00 open=0 ws_age=0s c1=29s c5=29s errs=0
2026-04-08T00:02:55-07:00,INFO,CANDLES_REFRESH,1m=100 5m=100 close=2245.37
2026-04-08T00:03:10-07:00,INFO,HB,mode=FLAT px=2245.36 bid=2245.35 ask=2245.36 sprd=0.01 reg=CHOP p=0.36 chop=0.64 pb=0.39 dir=1 pos=0.00 side=- upnl=- avg=- hold=0s tp1=0.72% tp2=1.26% tp_mode=vol vol=0.00 norm=0.07 rsi=25.80 cd=0s obi=-0.73 q_free=101.29 b_free=0.00 open=0 ws_age=0s c1=14s c5=14s errs=0
2026-04-08T00:03:25-07:00,INFO,HB,mode=FLAT px=2244.97 bid=2244.96 ask=2244.97 sprd=0.01 reg=CHOP p=0.36 chop=0.64 pb=0.39 dir=1 pos=0.00 side=- upnl=- avg=- hold=0s tp1=0.72% tp2=1.26% tp_mode=vol vol=0.00 norm=0.07 rsi=25.80 cd=0s obi=-0.50 q_free=101.29 b_free=0.00 open=0 ws_age=0s c1=29s c5=29s errs=0
2026-04-08T00:03:26-07:00,INFO,CANDLES_REFRESH,1m=100 5m=100 close=2244.97
2026-04-08T00:03:26-07:00,INFO,ORCH_NO_INTENT,reg=CHOP dir=1 p=0.37 pb=0.47 why=DIP:no_discount;TPB:p_trend_low;MOMO:p_trend_low;MOMO:atrp_low blocker_family=regime_unsuitable
2026-04-08T00:03:40-07:00,INFO,HB,mode=FLAT px=2244.96 bid=2244.96 ask=2244.97 sprd=0.01 reg=CHOP p=0.37 chop=0.63 pb=0.47 dir=1 pos=0.00 side=- upnl=- avg=- hold=0s tp1=0.72% tp2=1.26% tp_mode=vol vol=0.00 norm=0.07 rsi=33.64 cd=0s obi=0.40 q_free=101.29 b_free=0.00 open=0 ws_age=0s c1=14s c5=14s errs=0
2026-04-08T00:03:56-07:00,INFO,HB,mode=FLAT px=2244.64 bid=2244.64 ask=2244.65 sprd=0.01 reg=CHOP p=0.37 chop=0.63 pb=0.47 dir=1 pos=0.00 side=- upnl=- avg=- hold=0s tp1=0.72% tp2=1.26% tp_mode=vol vol=0.00 norm=0.07 rsi=33.64 cd=0s obi=0.04 q_free=101.29 b_free=0.00 open=0 ws_age=0s c1=29s c5=29s errs=0
2026-04-08T00:03:56-07:00,INFO,CANDLES_REFRESH,1m=100 5m=100 close=2244.64
2026-04-08T00:04:11-07:00,INFO,HB,mode=FLAT px=2245.22 bid=2245.21 ask=2245.22 sprd=0.01 reg=CHOP p=0.37 chop=0.63 pb=0.47 dir=1 pos=0.00 side=- upnl=- avg=- hold=0s tp1=0.72% tp2=1.26% tp_mode=vol vol=0.00 norm=0.07 rsi=32.25 cd=0s obi=-0.11 q_free=101.29 b_free=0.00 open=0 ws_age=0s c1=14s c5=14s errs=0
2026-04-08T00:04:26-07:00,INFO,CANDLES_REFRESH,1m=100 5m=100 close=2244.34
2026-04-08T00:04:26-07:00,INFO,HB,mode=FLAT px=2244.34 bid=2244.33 ask=2244.34 sprd=0.01 reg=CHOP p=0.38 chop=0.62 pb=0.57 dir=1 pos=0.00 side=- upnl=- avg=- hold=0s tp1=0.72% tp2=1.26% tp_mode=vol vol=0.00 norm=0.07 rsi=25.07 cd=0s obi=0.85 q_free=101.29 b_free=0.00 open=0 ws_age=0s c1=0s c5=0s errs=0
2026-04-08T00:04:27-07:00,INFO,ORCH_NO_INTENT,reg=CHOP dir=1 p=0.38 pb=0.57 why=DIP:no_discount;TPB:p_trend_low;MOMO:p_trend_low;MOMO:atrp_low blocker_family=regime_unsuitable
2026-04-08T00:04:41-07:00,INFO,HB,mode=FLAT px=2244.65 bid=2244.63 ask=2244.64 sprd=0.01 reg=CHOP p=0.38 chop=0.62 pb=0.57 dir=1 pos=0.00 side=- upnl=- avg=- hold=0s tp1=0.72% tp2=1.26% tp_mode=vol vol=0.00 norm=0.07 rsi=25.07 cd=0s obi=-0.92 q_free=101.29 b_free=0.00 open=0 ws_age=0s c1=15s c5=15s errs=0
2026-04-08T00:04:56-07:00,INFO,CANDLES_REFRESH,1m=100 5m=100 close=2244.63
2026-04-08T00:04:57-07:00,INFO,HB,mode=FLAT px=2244.63 bid=2244.62 ask=2244.63 sprd=0.01 reg=CHOP p=0.39 chop=0.61 pb=0.57 dir=1 pos=0.00 side=- upnl=- avg=- hold=0s tp1=0.72% tp2=1.26% tp_mode=vol vol=0.00 norm=0.07 rsi=26.05 cd=0s obi=0.37 q_free=101.29 b_free=0.00 open=0 ws_age=0s c1=0s c5=0s errs=0
2026-04-08T00:05:12-07:00,INFO,HB,mode=FLAT px=2245.80 bid=2246.15 ask=2246.16 sprd=0.01 reg=CHOP p=0.39 chop=0.61 pb=0.57 dir=1 pos=0.00 side=- upnl=- avg=- hold=0s tp1=0.72% tp2=1.26% tp_mode=vol vol=0.00 norm=0.07 rsi=26.05 cd=0s obi=-0.38 q_free=101.29 b_free=0.00 open=0 ws_age=0s c1=15s c5=15s errs=0
2026-04-08T00:05:27-07:00,INFO,CANDLES_REFRESH,1m=100 5m=100 close=2246.15
2026-04-08T00:05:27-07:00,INFO,HB,mode=FLAT px=2246.15 bid=2246.24 ask=2246.25 sprd=0.01 reg=CHOP p=0.37 chop=0.63 pb=0.61 dir=1 pos=0.00 side=- upnl=- avg=- hold=0s tp1=0.72% tp2=1.26% tp_mode=vol vol=0.00 norm=0.07 rsi=41.10 cd=0s obi=0.65 q_free=101.29 b_free=0.00 open=0 ws_age=0s c1=0s c5=0s errs=0
2026-04-08T00:05:28-07:00,INFO,ORCH_NO_INTENT,reg=CHOP dir=1 p=0.37 pb=0.61 why=DIP:no_discount;TPB:p_trend_low;MOMO:p_trend_low;MOMO:atrp_low blocker_family=regime_unsuitable
2026-04-08T00:05:43-07:00,INFO,HB,mode=FLAT px=2246.46 bid=2246.69 ask=2246.70 sprd=0.01 reg=CHOP p=0.37 chop=0.63 pb=0.61 dir=1 pos=0.00 side=- upnl=- avg=- hold=0s tp1=0.72% tp2=1.26% tp_mode=vol vol=0.00 norm=0.07 rsi=41.10 cd=0s obi=0.05 q_free=101.29 b_free=0.00 open=0 ws_age=0s c1=15s c5=15s errs=0
2026-04-08T00:05:57-07:00,INFO,CANDLES_REFRESH,1m=100 5m=100 close=2247.26
2026-04-08T00:05:58-07:00,INFO,HB,mode=FLAT px=2246.66 bid=2246.66 ask=2246.67 sprd=0.01 reg=CHOP p=0.36 chop=0.64 pb=0.60 dir=1 pos=0.00 side=- upnl=- avg=- hold=0s tp1=0.72% tp2=1.26% tp_mode=vol vol=0.00 norm=0.08 rsi=48.00 cd=0s obi=0.33 q_free=101.29 b_free=0.00 open=0 ws_age=0s c1=0s c5=0s errs=0
2026-04-08T00:06:13-07:00,INFO,HB,mode=FLAT px=2246.92 bid=2246.92 ask=2246.93 sprd=0.01 reg=CHOP p=0.36 chop=0.64 pb=0.60 dir=1 pos=0.00 side=- upnl=- avg=- hold=0s tp1=0.72% tp2=1.26% tp_mode=vol vol=0.00 norm=0.08 rsi=48.00 cd=0s obi=0.44 q_free=101.29 b_free=0.00 open=0 ws_age=0s c1=16s c5=15s errs=0
2026-04-08T00:06:27-07:00,INFO,CANDLES_REFRESH,1m=100 5m=100 close=2246.92
2026-04-08T00:06:28-07:00,INFO,HB,mode=FLAT px=2246.92 bid=2246.92 ask=2246.93 sprd=0.01 reg=CHOP p=0.37 chop=0.63 pb=0.64 dir=1 pos=0.00 side=- upnl=- avg=- hold=0s tp1=0.72% tp2=1.26% tp_mode=vol vol=0.00 norm=0.08 rsi=51.59 cd=0s obi=0.23 q_free=101.29 b_free=0.00 open=0 ws_age=0s c1=1s c5=0s errs=0
2026-04-08T00:06:29-07:00,INFO,ORCH_NO_INTENT,reg=CHOP dir=1 p=0.37 pb=0.64 why=DIP:no_discount;TPB:p_trend_low;MOMO:p_trend_low;MOMO:atrp_low blocker_family=regime_unsuitable
2026-04-08T00:06:44-07:00,INFO,HB,mode=FLAT px=2246.28 bid=2246.51 ask=2246.52 sprd=0.01 reg=CHOP p=0.37 chop=0.63 pb=0.64 dir=1 pos=0.00 side=- upnl=- avg=- hold=0s tp1=0.72% tp2=1.26% tp_mode=vol vol=0.00 norm=0.08 rsi=51.59 cd=0s obi=-0.55 q_free=101.29 b_free=0.00 open=0 ws_age=0s c1=16s c5=16s errs=0
2026-04-08T00:06:57-07:00,INFO,CANDLES_REFRESH,1m=100 5m=100 close=2246.28
2026-04-08T00:06:59-07:00,INFO,HB,mode=FLAT px=2246.28 bid=2246.51 ask=2246.52 sprd=0.01 reg=CHOP p=0.36 chop=0.64 pb=0.64 dir=1 pos=0.00 side=- upnl=- avg=- hold=0s tp1=0.72% tp2=1.26% tp_mode=vol vol=0.00 norm=0.08 rsi=47.71 cd=0s obi=0.26 q_free=101.29 b_free=0.00 open=0 ws_age=0s c1=1s c5=1s errs=0
2026-04-08T00:07:14-07:00,INFO,HB,mode=FLAT px=2246.55 bid=2246.57 ask=2246.58 sprd=0.01 reg=CHOP p=0.36 chop=0.64 pb=0.64 dir=1 pos=0.00 side=- upnl=- avg=- hold=0s tp1=0.72% tp2=1.26% tp_mode=vol vol=0.00 norm=0.08 rsi=47.71 cd=0s obi=0.17 q_free=101.29 b_free=0.00 open=0 ws_age=0s c1=16s c5=16s errs=0
2026-04-08T00:07:28-07:00,INFO,CANDLES_REFRESH,1m=100 5m=100 close=2246.55
2026-04-08T00:07:30-07:00,INFO,MARGIN_TRUTH,open_n=0 eff=0 sym_active=0 fetch_fail=0 tracked=0 query_fail=0 tradeType=MARGIN_TRADE
2026-04-08T00:07:30-07:00,INFO,HB,mode=FLAT px=2245.99 bid=2245.98 ask=2245.99 sprd=0.01 reg=CHOP p=0.38 chop=0.62 pb=0.66 dir=1 pos=0.00 side=- upnl=- avg=- hold=0s tp1=0.72% tp2=1.26% tp_mode=vol vol=0.00 norm=0.08 rsi=47.96 cd=0s obi=0.49 q_free=101.29 b_free=0.00 open=0 ws_age=0s c1=1s c5=1s errs=0
2026-04-08T00:07:31-07:00,INFO,ORCH_NO_INTENT,reg=CHOP dir=1 p=0.38 pb=0.66 why=DIP:no_discount;TPB:p_trend_low;MOMO:p_trend_low;MOMO:atrp_low blocker_family=regime_unsuitable
2026-04-08T00:07:45-07:00,INFO,HB,mode=FLAT px=2246.43 bid=2246.43 ask=2246.44 sprd=0.01 reg=CHOP p=0.38 chop=0.62 pb=0.66 dir=1 pos=0.00 side=- upnl=- avg=- hold=0s tp1=0.72% tp2=1.26% tp_mode=vol vol=0.00 norm=0.08 rsi=47.96 cd=0s obi=0.35 q_free=101.29 b_free=0.00 open=0 ws_age=0s c1=16s c5=16s errs=0
2026-04-08T00:07:58-07:00,INFO,CANDLES_REFRESH,1m=100 5m=100 close=2246.43
2026-04-08T00:08:00-07:00,INFO,HB,mode=FLAT px=2246.43 bid=2246.42 ask=2246.43 sprd=0.01 reg=CHOP p=0.38 chop=0.62 pb=0.66 dir=1 pos=0.00 side=- upnl=- avg=- hold=0s tp1=0.72% tp2=1.26% tp_mode=vol vol=0.00 norm=0.08 rsi=47.20 cd=0s obi=0.11 q_free=101.29 b_free=0.00 open=0 ws_age=0s c1=2s c5=1s errs=0
2026-04-08T00:08:15-07:00,INFO,HB,mode=FLAT px=2246.74 bid=2246.74 ask=2246.75 sprd=0.01 reg=CHOP p=0.38 chop=0.62 pb=0.66 dir=1 pos=0.00 side=- upnl=- avg=- hold=0s tp1=0.72% tp2=1.26% tp_mode=vol vol=0.00 norm=0.08 rsi=47.20 cd=0s obi=0.87 q_free=101.29 b_free=0.00 open=0 ws_age=0s c1=17s c5=17s errs=0
2026-04-08T00:08:28-07:00,INFO,CANDLES_REFRESH,1m=100 5m=100 close=2246.78
2026-04-08T00:08:31-07:00,INFO,HB,mode=FLAT px=2246.79 bid=2246.78 ask=2246.79 sprd=0.01 reg=CHOP p=0.40 chop=0.60 pb=0.67 dir=1 pos=0.00 side=- upnl=- avg=- hold=0s tp1=0.72% tp2=1.26% tp_mode=vol vol=0.00 norm=0.08 rsi=51.15 cd=0s obi=0.98 q_free=101.29 b_free=0.00 open=0 ws_age=0s c1=2s c5=2s errs=0
2026-04-08T00:08:32-07:00,INFO,ORCH_NO_INTENT,reg=CHOP dir=1 p=0.40 pb=0.67 why=DIP:no_discount;TPB:p_trend_low;MOMO:p_trend_low;MOMO:atrp_low blocker_family=regime_unsuitable
2026-04-08T00:08:46-07:00,INFO,HB,mode=FLAT px=2247.84 bid=2248.02 ask=2248.03 sprd=0.01 reg=CHOP p=0.40 chop=0.60 pb=0.67 dir=1 pos=0.00 side=- upnl=- avg=- hold=0s tp1=0.72% tp2=1.26% tp_mode=vol vol=0.00 norm=0.08 rsi=51.15 cd=0s obi=0.59 q_free=101.29 b_free=0.00 open=0 ws_age=0s c1=17s c5=17s errs=0
2026-04-08T00:08:58-07:00,INFO,CANDLES_REFRESH,1m=100 5m=100 close=2248.38
2026-04-08T00:09:01-07:00,INFO,HB,mode=FLAT px=2248.38 bid=2248.06 ask=2248.07 sprd=0.01 reg=CHOP p=0.45 chop=0.55 pb=0.66 dir=1 pos=0.00 side=- upnl=- avg=- hold=0s tp1=0.72% tp2=1.26% tp_mode=vol vol=0.00 norm=0.08 rsi=59.09 cd=0s obi=-0.32 q_free=101.29 b_free=0.00 open=0 ws_age=0s c1=2s c5=2s errs=0
2026-04-08T00:09:17-07:00,INFO,HB,mode=FLAT px=2248.82 bid=2248.51 ask=2248.52 sprd=0.01 reg=CHOP p=0.45 chop=0.55 pb=0.66 dir=1 pos=0.00 side=- upnl=- avg=- hold=0s tp1=0.72% tp2=1.26% tp_mode=vol vol=0.00 norm=0.08 rsi=59.09 cd=0s obi=0.06 q_free=101.29 b_free=0.00 open=0 ws_age=0s c1=18s c5=17s errs=0
2026-04-08T00:09:29-07:00,INFO,CANDLES_REFRESH,1m=100 5m=100 close=2248.82
2026-04-08T00:09:32-07:00,INFO,HB,mode=FLAT px=2248.39 bid=2248.29 ask=2248.30 sprd=0.01 reg=CHOP p=0.47 chop=0.53 pb=0.66 dir=1 pos=0.00 side=- upnl=- avg=- hold=0s tp1=0.72% tp2=1.26% tp_mode=vol vol=0.00 norm=0.08 rsi=69.71 cd=0s obi=-0.18 q_free=101.29 b_free=0.00 open=0 ws_age=0s c1=3s c5=3s errs=0
2026-04-08T00:09:32-07:00,INFO,ORCH_NO_INTENT,reg=CHOP dir=1 p=0.47 pb=0.66 why=DIP:no_discount;TPB:p_trend_low;MOMO:p_trend_low;MOMO:atrp_low blocker_family=regime_unsuitable
2026-04-08T00:09:47-07:00,INFO,HB,mode=FLAT px=2248.39 bid=2248.82 ask=2248.83 sprd=0.01 reg=CHOP p=0.47 chop=0.53 pb=0.66 dir=1 pos=0.00 side=- upnl=- avg=- hold=0s tp1=0.72% tp2=1.26% tp_mode=vol vol=0.00 norm=0.08 rsi=69.71 cd=0s obi=0.35 q_free=101.29 b_free=0.00 open=0 ws_age=0s c1=18s c5=18s errs=0
2026-04-08T00:09:59-07:00,INFO,CANDLES_REFRESH,1m=100 5m=100 close=2248.67
